Name,Email,Years_In_Org,Grade,Setup,Topic,1-2pm,2-3pm,3-4pm,4-5pm,5-6pm,1-2pm2,2-3pm2,3-4pm2,4-5pm2,5-6pm2,1-2pm,2-3pm3,3-4pm3,4-5pm3,5-6pm3
Person101,Person101@DepartmentL.com,5-10 years,Level2,If needed,Topic2,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0
Person102,Person102@DepartmentH.com,1-3 years,Level2,If needed,Topic2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Person103,Person103@DepartmentA.com,1-3 years,Level2,No,Topic2,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0
Person104,Person104@DepartmentT.com,3-5 years,Level3,No,Topic2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Person105,Person105@DepartmentL.com,3-5 years,Level2,Yes,Topic2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Person106,Person106@DepartmentG.com,>10 years,Level3,If needed,Topic2,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
Person107,Person107@DepartmentS.com,1-3 years,Level2,If needed,Topic2,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
Person108,Person108@DepartmentE.com,3-5 years,Level3,Yes,Topic2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Person109,Person109@DepartmentK.com,3-5 years,Level2,No,Topic2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Person110,Person110@DepartmentN.com,<1 year,Level2,If needed,Topic2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Person111,Person111@DepartmentG.com,1-3 years,Level2,No,Topic3,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0
Person112,Person112@DepartmentU.com,3-5 years,Level3,If needed,Topic2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
